Experiment id: 04b6257d-4618-4b6e-86ab-bbe8588590df
Performance Test Version: 2fc8cc2-dirty
Logfile name: a34a4d5b-c9f1-44f6-a583-420842e8f519.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_fastrtps_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 500
Topic name: PointCloud1m
Msg name: PointCloud1m
Maximum runtime (sec): 30
Number of publishers: 0
Number of subscribers: 1
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.039593,		1.010018,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.2246,		0.2063,		132857856,		0,		0,		0,		10414,		3,		0,		0,		0,		16,		32,		0,		29,		6412,		1.111e-05
7.048893,		1.009232,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.2508,		0.2126,		132857856,		0,		0,		0,		10416,		3,		0,		0,		0,		18,		36,		0,		32,		7166,		0.4954
8.052862,		1.003945,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.2793,		0.2191,		132857856,		0,		0,		0,		10416,		3,		0,		0,		0,		18,		36,		0,		32,		7888,		0.249
9.058338,		1.005454,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.3069,		0.2256,		132857856,		0,		0,		0,		10416,		3,		0,		0,		0,		18,		36,		0,		32,		8626,		0.4973
10.064359,		1.005955,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.3375,		0.2328,		132857856,		0,		0,		0,		10416,		3,		0,		0,		0,		20,		40,		0,		36,		9388,		0.497
11.074407,		1.010026,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.3644,		0.2393,		132857856,		0,		0,		0,		10417,		3,		0,		0,		0,		20,		40,		0,		36,		10177,		0.3713
12.079765,		1.005326,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.3927,		0.2459,		132857856,		0,		0,		0,		10417,		3,		0,		0,		0,		20,		40,		0,		36,		10895,		0.4973
13.086200,		1.006415,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.4196,		0.2522,		132857856,		0,		0,		0,		10417,		3,		0,		0,		0,		22,		44,		0,		40,		11626,		0.3726
14.093176,		1.006950,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.4489,		0.2593,		132857856,		0,		0,		0,		10417,		3,		0,		0,		0,		22,		44,		0,		40,		12431,		0.3724
15.099703,		1.006504,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.478,		0.2664,		132857856,		0,		0,		0,		10417,		3,		0,		0,		0,		22,		44,		0,		40,		13263,		0.4968
16.101809,		1.002086,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.5061,		0.2732,		132857856,		0,		0,		0,		10418,		3,		0,		0,		0,		24,		48,		0,		44,		14008,		0.4989
17.109007,		1.007144,		1,		0,		7860,		inf,		2087024,		198.5,		203.7,		201.1,		0.006926,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.5327,		0.2797,		133955584,		0,		0,		0,		10485,		3,		0,		0,		0,		24,		48,		0,		44,		14746,		0.3723
18.117044,		1.008016,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.5608,		0.2861,		133955584,		0,		0,		0,		10485,		3,		0,		0,		0,		24,		48,		0,		44,		15481,		0.496
19.127077,		1.010013,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.5858,		0.293,		133955584,		0,		0,		0,		10485,		3,		0,		0,		0,		26,		52,		0,		48,		16556,		0.3713
20.137106,		1.010005,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.6146,		0.2999,		133955584,		0,		0,		0,		10485,		3,		0,		0,		0,		26,		52,		0,		48,		17301,		0.3713
21.142529,		1.005380,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.6459,		0.3075,		133955584,		0,		0,		0,		10486,		3,		0,		0,		0,		26,		52,		0,		48,		18072,		0.4973
22.147400,		1.004829,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.6744,		0.3144,		133955584,		0,		0,		0,		10486,		3,		0,		0,		0,		28,		56,		0,		52,		18823,		0.4976
23.152737,		1.005311,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.7034,		0.3208,		133955584,		0,		0,		0,		10486,		3,		0,		0,		0,		28,		56,		0,		52,		19530,		0.4973
24.162760,		1.010009,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.7318,		0.3274,		133955584,		0,		0,		0,		10486,		3,		0,		0,		0,		28,		56,		0,		52,		20313,		0.3713
25.163620,		1.000841,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.7609,		0.3343,		133955584,		0,		0,		0,		10486,		3,		0,		0,		0,		30,		60,		0,		56,		21028,		0.4996
26.171461,		1.007819,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.7884,		0.3407,		133955584,		0,		0,		0,		10487,		3,		0,		0,		0,		30,		60,		0,		56,		21772,		0.3721
27.180206,		1.008703,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.8173,		0.3473,		133955584,		0,		0,		0,		10487,		3,		0,		0,		0,		30,		60,		0,		56,		22501,		0.3717
28.182837,		1.002559,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.8449,		0.3539,		133955584,		0,		0,		0,		10487,		3,		0,		0,		0,		32,		64,		0,		60,		23239,		0.4987
29.192842,		1.009984,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.8713,		0.36,		133955584,		0,		0,		0,		10487,		3,		0,		0,		0,		32,		64,		0,		60,		23968,		0.495
30.195274,		1.002409,		0,		0,		0,		nan,		0,		inf,		-inf,		0,		nan,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0.8974,		0.3661,		133955584,		0,		0,		0,		10487,		3,		0,		0,		0,		32,		64,		0,		60,		24694,		0.2494
